State,District,Crop,Year,Season,Area,Area Units,Production,Production Units,Yield
Andaman and Nicobar Islands,NICOBARS,Arecanut,2001-02,Kharif,1254,Hectare,2061,Tonnes,1.64354066985645
Andaman and Nicobar Islands,NICOBARS,Arecanut,2002-03,Whole Year,1258,Hectare,2083,Tonnes,1.65580286168521
Andaman and Nicobar Islands,NICOBARS,Arecanut,2003-04,Whole Year,1261,Hectare,1525,Tonnes,1.20935765265662
Andaman and Nicobar Islands,NORTH AND MIDDLE ANDAMAN,Arecanut,2001-02,Kharif,3100,Hectare,5239,Tonnes,1.69
Andaman and Nicobar Islands,SOUTH ANDAMANS,Arecanut,2002-03,Whole Year,3105,Hectare,5267,Tonnes,1.69629629629629
Andaman and Nicobar Islands,SOUTH ANDAMANS,Arecanut,2003-04,Whole Year,3118,Hectare,5182,Tonnes,1.66196279666452
Andaman and Nicobar Islands,NICOBARS,Banana,2002-03,Whole Year,213,Hectare,1278,Tonnes,6
Andaman and Nicobar Islands,NICOBARS,Banana,2003-04,Whole Year,266,Hectare,1763,Tonnes,6.62781954887218
Andaman and Nicobar Islands,SOUTH ANDAMANS,Banana,2002-03,Whole Year,1524,Hectare,10882,Tonnes,7.14041994750656
Andaman and Nicobar Islands,SOUTH ANDAMANS,Banana,2003-04,Whole Year,1530,Hectare,11558,Tonnes,7.55424836601307
Andaman and Nicobar Islands,NICOBARS,Black pepper,2002-03,Whole Year,63,Hectare,13.5,Tonnes,0.214285714285714
Andaman and Nicobar Islands,NICOBARS,Black pepper,2003-04,Whole Year,75.5,Hectare,15.86,Tonnes,0.210066225165562
Andaman and Nicobar Islands,SOUTH ANDAMANS,Black pepper,2002-03,Whole Year,487,Hectare,102.5,Tonnes,0.21047227926078
Andaman and Nicobar Islands,SOUTH ANDAMANS,Black pepper,2003-04,Whole Year,497,Hectare,104.37,Tonnes,0.21
Andaman and Nicobar Islands,NICOBARS,Cashewnut,2001-02,Whole Year,719,Hectare,192,Tonnes,0.267037552155771
